asset,file,category,description,bbox,size
market_usd_chart,08_market/market_usd_chart.png,08_market,USD/GHS chart,"722,1570,810,1615",88x45
chatbot_button,08_market/chatbot_button.png,08_market,Floating support chatbot,"751,1456,827,1532",76x76
nav_home_icon,09_navigation/nav_home_icon.png,09_navigation,Home icon,"86,1664,137,1710",51x46
nav_wallet_icon,09_navigation/nav_wallet_icon.png,09_navigation,Wallet icon,"240,1662,286,1709",46x47
nav_scan_pay_qr,09_navigation/nav_scan_pay_qr.png,09_navigation,Center Scan & Pay QR,"382,1620,466,1706",84x86
nav_cards_icon,09_navigation/nav_cards_icon.png,09_navigation,Cards icon,"555,1660,605,1707",50x47
nav_profile_icon,09_navigation/nav_profile_icon.png,09_navigation,Profile icon,"713,1658,766,1710",53x52
bottom_nav_bar,10_ui_composites/bottom_nav_bar.png,10_ui_composites,Complete bottom navigation,"35,1638,828,1753",793x115
quick_actions_bar,10_ui_composites/quick_actions_bar.png,10_ui_composites,Complete quick action bar,"27,609,837,752",810x143
services_panel,10_ui_composites/services_panel.png,10_ui_composites,Complete My Services panel,"27,931,837,1205",810x274
transactions_panel,10_ui_composites/transactions_panel.png,10_ui_composites,Complete Recent Transactions panel,"27,1210,837,1492",810x282
market_updates_panel,10_ui_composites/market_updates_panel.png,10_ui_composites,Complete Market Updates panel,"27,1499,837,1631",810x132
